Numero,Nom,Simbol,Cap de mercat,Preu,Oferta circulant,Volum 24 hores,% 1h,% 2h,% 7d
79,Kin,KIN,"$64,648,912",$0.000086,"756,097,560,976*","$103,427",2.71%,8.37%,-12.22%
80,Nxt,NXT,"$64,509,622",$0.064574,"998,999,942*","$3,941,970",2.04%,-2.78%,1.94%
81,VeChain,VEN,"$61,634,246",$0.221142,"278,708,913*","$683,349",5.03%,-6.82%,-32.32%
82,Pura,PURA,"$58,632,419",$0.341958,"171,460,880","$422,049",-1.24%,-13.18%,-19.88%
83,ATMChain,ATM,"$56,193,535",$0.025878,"2,171,437,109*","$56,588",1.94%,-1.98%,2.12%
84,Aragon,ANT,"$53,117,882",$1.62,"32,832,390*","$411,624",0.59%,-6.27%,-11.33%
85,I/O Coin,IOC,"$50,755,672",$3.10,"16,372,375*","$341,208",1.20%,14.85%,-7.16%
86,Loopring,LRC,"$50,610,443",$0.176854,"286,170,756*","$542,226",2.79%,-6.14%,-23.08%
87,AdEx,ADX,"$49,905,231",$0.886798,"56,275,759*","$3,678,350",-2.00%,-9.33%,-26.67%
88,Melon,MLN,"$49,172,259",$82.04,"599,400*","$586,883",1.54%,11.53%,22.72%
89,Vertcoin,VTC,"$48,728,477",$1.21,"40,263,150","$2,591,240",-2.96%,-6.28%,-2.06%
90,Wings,WINGS,"$48,616,983",$0.541945,"89,708,333*","$508,923",1.03%,0.98%,-8.04%
91,Ubiq,UBQ,"$47,466,852",$1.24,"38,322,368","$400,822",-1.42%,-8.75%,-22.18%
92,Storj,STORJ,"$46,273,172",$0.465897,"99,320,605*","$1,297,600",-0.75%,14.09%,3.85%
93,Dentacoin,DCN,"$45,953,484",$0.000152,"303,095,254,787*","$26,684",3.82%,18.68%,29.56%
94,Edgeless,EDG,"$44,673,301",$0.544489,"82,046,288*","$1,262,170",-2.07%,-12.31%,-20.01%
95,Bitquence,BQX,"$44,427,571",$0.620168,"71,637,960*","$338,549",-0.78%,-2.75%,-5.68%
96,Particl,PART,"$44,104,840",$5.70,"7,735,045*","$205,892",-0.10%,-5.79%,-15.33%
97,SONM,SNM,"$43,812,585",$0.121837,"359,600,000*","$1,127,770",-0.69%,-9.35%,-31.70%
98,NAV Coin,NAV,"$43,726,877",$0.706594,"61,884,020*","$1,331,730",7.94%,-0.19%,-10.08%
99,MobileGo,MGO,"$43,329,454",$0.442007,"98,028,887*","$299,551",1.78%,-5.62%,-19.64%
100,TaaS,TAAS,"$42,942,213",$5.27,"8,146,001*","$229,233",0.64%,10.88%,30.58%
101,ATBCoin,ATB,"$40,566,017",$1.06,"38,291,140","$738,172",5.60%,15.12%,15.26%
102,Sprouts,SPRTS,"$40,387,019",$0.000054,"746,730,957,842*","$2,196",1.72%,17.81%,62.47%
103,iExec RLC,RLC,"$39,381,762",$0.498057,"79,070,793*","$238,644",1.79%,-5.06%,-11.76%
104,FairCoin,FAIR,"$36,907,795",$0.693836,"53,193,831*","$22,202",-0.43%,2.87%,4.10%
105,Gulden,NLG,"$34,873,687",$0.098424,"354,320,245","$222,913",1.48%,-1.19%,-12.84%
106,Cofound.it,CFI,"$32,507,475",$0.100023,"325,000,000*","$260,509",0.11%,-7.03%,-23.35%
107,Clams,CLAM,"$32,485,674",$12.22,"2,659,120*","$481,392",2.48%,9.23%,33.94%
108,Moeda Loyalty...,MDA,"$32,063,396",$1.63,"19,628,888*","$465,677",-0.51%,-9.90%,-49.60%
109,Peercoin,PPC,"$31,892,786",$1.31,"24,380,813","$665,476",1.09%,0.75%,7.16%
110,CloakCoin,CLOAK,"$31,445,421",$6.15,"5,116,038*","$378,081",2.97%,-2.82%,-10.07%
111,ReddCoin,RDD,"$31,077,606",$0.001085,"28,641,106,777*","$863,314",0.14%,-0.08%,7.16%
112,Rise,RISE,"$30,990,411",$0.273914,"113,139,200*","$631,018",-4.05%,-8.99%,-23.80%
113,ZCoin,XZC,"$30,681,874",$9.60,"3,196,451","$1,288,780",-1.54%,-9.11%,-13.74%
114,TokenCard,TKN,"$30,609,358",$1.29,"23,644,056*","$552,348",1.15%,-7.60%,-15.72%
