Data,Tipus,Nom,Simbol,Preu (Euros),Tipus_cotitzacio
2017-11-19,crypto_moneda,PDCProject Decorum,PDC,0.102980065,baixa
2017-11-19,crypto_moneda,COSSCOSS,COSS,0.059756802,baixa
2017-11-19,crypto_moneda,MUSICMusicoin,MUSIC,0.010795194,baixa
2017-11-19,crypto_moneda,AURAuroracoin,AUR,0.555193658,baixa
2017-11-19,crypto_moneda,DENTDent,DENT,0.000452915,baixa
2017-11-19,crypto_moneda,B@Bankcoin,B@,0.731487398,baixa
2017-11-19,crypto_moneda,AIRAirToken,AIR,0.004552948,baixa
2017-11-19,crypto_moneda,QWARKQwark,QWARK,0.115850342,baixa
2017-11-19,crypto_moneda,LALAToken,LA,0.117021295,baixa
2017-11-19,crypto_moneda,POSWPoSW Coin,POSW,0.105983923,baixa
2017-11-19,crypto_moneda,VIBEVIBE,VIBE,0.027226764,baixa
2017-11-19,crypto_moneda,ZRCZrCoin,ZRC,1.274621438,normal
2017-11-19,crypto_moneda,MYBMyBit Token,MYB,1.741982631,normal
2017-11-19,crypto_moneda,VOISEVoise,VOISE,0.007014667,baixa
2017-11-19,crypto_moneda,GCRGlobal Curren...,GCR,0.042529019,baixa
2017-11-19,crypto_moneda,CRBCreditbit,CRB,0.266254822,baixa
2017-11-19,crypto_moneda,FLDCFoldingCoin,FLDC,0.008358967,baixa
2017-11-19,crypto_moneda,HSTDecision Token,HST,0.141787189,baixa
2017-11-19,crypto_moneda,CHCChainCoin,CHC,0.310290444,baixa
2017-11-19,crypto_moneda,APXAPX,APX,6.186162710,normal
2017-11-19,crypto_moneda,NVSTNVO,NVST,0.289532809,baixa
2017-11-19,crypto_moneda,SNRGSynergy,SNRG,1.342601247,normal
2017-11-19,crypto_moneda,EXCLExclusiveCoin,EXCL,0.985707245,baixa
2017-11-19,crypto_moneda,ERCEuropeCoin,ERC,0.430506790,baixa
2017-11-19,crypto_moneda,ARNAeron,ARN,0.366542037,baixa
2017-11-19,crypto_moneda,RUPRupee,RUP,0.187503611,baixa
2017-11-19,crypto_moneda,XMYMyriad,XMY,0.002663109,baixa
2017-11-19,crypto_moneda,SNCSunContract,SNC,0.037771282,baixa
2017-11-19,crypto_moneda,XTOTao,XTO,0.123001818,baixa
2017-11-19,crypto_moneda,PROPropy,PRO,0.280250166,baixa
2017-11-19,crypto_moneda,EACEarthCoin,EAC,0.000340749,baixa
2017-11-19,crypto_moneda,YOCYocoin,YOC,0.035971516,baixa
2017-11-19,crypto_moneda,GCCTheGCCcoin,GCC,0.007862715,baixa
2017-11-19,crypto_moneda,COVALCircuits of V...,COVAL,0.003895243,baixa
2017-11-19,crypto_moneda,PTCPesetacoin,PTC,0.029103856,baixa
2017-11-19,crypto_moneda,NSRNuShares,NSR,0.001366394,baixa
2017-11-19,crypto_moneda,BITUSDbitUSD,BITUSD,0.815748373,baixa
2017-11-19,crypto_moneda,ABYArtByte,ABY,0.004727996,baixa
2017-11-19,crypto_moneda,RKCRoyal Kingdom...,RKC,1.385088629,normal
2017-11-19,crypto_moneda,SWIFTBitswift,SWIFT,0.900732483,baixa
2017-11-19,crypto_moneda,IOPInternet of P...,IOP,2.013901871,normal
2017-11-19,crypto_moneda,XGOXXGOX,XGOX,0.011960198,baixa
2017-11-19,crypto_moneda,PBTPrimalbase Token,PBT,3545.665437551,molt_alta
2017-11-19,crypto_moneda,THCHempCoin,THC,0.015443313,baixa
2017-11-19,crypto_moneda,NTRNNeutron,NTRN,0.105832668,baixa
