Numero,Nom,Simbol,Cap de mercat,Preu,Oferta circulant,Volum 24 hores,% 1h,% 2h,% 7d
121,Substratum,SUB,"$26,363,393",$0.116605,"226,091,449*","$881,159",-3.87%,-21.76%,-14.37%
122,WeTrust,TRST,"$25,539,509",$0.277159,"92,147,500*","$652,430",2.11%,-8.66%,-18.61%
123,Emercoin,EMC,"$25,452,934",$0.623237,"40,839,895","$455,811",6.39%,21.64%,4.67%
124,FirstBlood,1ST,"$25,071,854",$0.293038,"85,558,371*","$502,488",-0.10%,-6.38%,-21.13%
125,Blackmoon Crypto,BMC,"$24,863,862",$0.827437,"30,049,251*","$853,629",0.66%,-2.19%,3.37%
126,Viacoin,VIA,"$24,668,070",$1.08,"22,854,561","$997,542",0.53%,-6.31%,-8.18%
127,Diamond,DMD,"$24,654,836",$10.00,"2,464,448","$92,033",0.41%,-1.95%,1.18%
128,Asch,XAS,"$24,090,375",$0.321205,"75,000,000","$9,961",-0.26%,-1.98%,-4.64%
129,Tierion,TNT,"$23,942,836",$0.056668,"422,513,667*","$295,648",-0.48%,-3.35%,-25.88%
130,BitBay,BAY,"$23,419,790",$0.023239,"1,007,779,602*","$182,620",0.92%,-4.61%,-19.78%
131,PayPie,PPP,"$23,368,455",$0.283254,"82,500,000*","$150,033",1.43%,-8.59%,?
132,Crown,CRW,"$22,994,603",$1.48,"15,585,229","$96,083",1.17%,11.58%,13.57%
133,DECENT,DCT,"$22,927,614",$0.446879,"51,306,089*","$171,121",4.00%,-9.13%,-29.18%
134,Rialto,XRL,"$22,883,275",$0.269215,"85,000,000*","$48,922",-6.37%,-5.60%,-11.17%
135,district0x,DNT,"$22,492,740",$0.037488,"600,000,000*","$392,052",-0.23%,-0.95%,-23.13%
136,The ChampCoin,TCC,"$22,228,195",$0.134777,"164,925,727*","$118,045",1.36%,8.18%,10.14%
137,Neblio,NEBL,"$22,202,350",$1.78,"12,455,667*","$84,667",2.73%,-4.38%,-23.39%
138,Decentraland,MANA,"$22,194,311",$0.009761,"2,273,755,650*","$289,115",-1.00%,-9.68%,-32.46%
139,Einsteinium,EMC2,"$22,126,265",$0.103040,"214,734,716","$11,181,600",3.04%,21.49%,32.27%
140,SIBCoin,SIB,"$22,101,632",$1.42,"15,605,742","$115,356",0.40%,6.41%,14.47%
141,Counterparty,XCP,"$21,886,494",$8.36,"2,617,623*","$245,642",0.03%,5.26%,-13.59%
142,CoinDash,CDT,"$21,653,096",$0.039013,"555,015,474*","$293,964",-0.59%,-3.62%,-8.27%
143,ION,ION,"$21,498,518",$1.28,"16,861,186*","$44,406",-1.10%,-3.84%,-9.91%
144,Rubycoin,RBY,"$21,426,591",$0.861777,"24,863,266*","$91,166",1.10%,12.67%,31.94%
145,Patientory,PTOY,"$21,399,280",$0.305704,"70,000,000*","$1,375,490",-1.99%,-8.99%,-13.11%
146,Monetha,MTH,"$21,336,719",$0.098408,"216,819,832*","$210,551",-1.86%,-5.79%,-29.41%
147,Xaurum,XAUR,"$21,128,886",$0.166226,"127,109,390*","$162,361",3.52%,4.24%,-2.84%
148,LEOcoin,LEO,"$20,486,608",$0.223739,"91,564,759*","$24,814",0.01%,26.18%,9.84%
149,Compcoin,CMP,"$20,407,590",$4.76,"4,283,880","$291,050",-9.16%,-3.29%,30.09%
150,Safe Exchange...,SAFEX,"$19,993,567",$0.009310,"2,147,483,647*","$299,260",1.24%,-2.23%,-8.54%
151,Target Coin,TGT,"$19,571,196",$0.020549,"952,429,892*","$13,892",-2.72%,-27.85%,-19.79%
152,Everex,EVX,"$19,561,905",$1.19,"16,500,000*","$791,343",-1.09%,-22.63%,?
153,adToken,ADT,"$19,501,800",$0.032503,"600,000,000*","$129,323",-0.74%,12.33%,-0.10%
154,Etheroll,DICE,"$19,190,678",$2.74,"7,001,623*","$52,097",8.49%,-10.70%,-9.38%
155,Skycoin,SKY,"$18,447,737",$3.11,"5,933,198*","$18,630",1.78%,-1.98%,7.09%
156,Omni,OMNI,"$18,068,319",$32.27,"559,912*","$9,496,950",-1.23%,60.87%,42.22%
157,Namecoin,NMC,"$17,644,776",$1.20,"14,736,400","$406,295",0.38%,-1.49%,-1.37%
158,Mothership,MSP,"$17,296,580",$0.123547,"140,000,000*","$226,612",2.11%,4.12%,-17.18%
159,Stox,STX,"$17,000,050",$0.574326,"29,600,000*","$976,049",0.16%,-12.03%,-41.68%
160,Voise,VOISE,"$16,985,998",$0.026416,"643,012,000*","$439,513",-3.44%,-3.70%,146.50%
161,SmartCash,SMART,"$16,648,607",$0.025390,"655,720,288*","$43,315",3.50%,14.36%,23.50%
162,Aventus,AVT,"$16,194,120",$2.70,"6,000,000*","$2,662,940",-0.97%,-11.10%,-2.02%
163,Po.et,POE,"$16,194,115",$0.007581,"2,136,283,004*","$45,284",-6.36%,-7.00%,-22.78%
164,ZenCash,ZEN,"$16,143,615",$7.24,"2,229,310","$324,856",3.42%,19.30%,2.13%
165,Santiment Net...,SAN,"$16,077,246",$0.287258,"55,967,968*","$844,912",0.70%,-10.58%,-5.09%
166,Viberate,VIB,"$15,866,160",$0.132218,"120,000,000*","$164,750",5.96%,-0.83%,?
167,MonetaryUnit,MUE,"$15,649,374",$0.124232,"125,968,946","$265,760",2.06%,-8.50%,-19.72%
168,Mooncoin,MOON,"$15,221,934",$0.000068,"222,388,782,063","$9,895",-2.57%,60.40%,43.52%
169,Pillar,PLR,"$15,213,157",$0.066905,"227,384,800*","$44,809",3.03%,1.97%,6.77%
170,Numeraire,NMR,"$15,145,834",$12.13,"1,248,667*","$924,962",-1.41%,-2.22%,-16.02%
171,E-coin,ECN,"$14,978,057",$3.56,"4,211,389","$42,034",0.82%,11.21%,10.66%
172,XPlay,XPA,"$14,943,700",$0.014944,"1,000,000,000*","$12,109",-0.39%,-0.01%,?
173,Polybius,PLBT,"$14,908,077",$3.91,"3,808,454*","$18,788",-1.61%,2.00%,-12.00%
174,PotCoin,POT,"$14,863,839",$0.068106,"218,246,617","$180,282",1.37%,1.21%,11.95%
175,Expanse,EXP,"$14,768,358",$1.87,"7,906,397","$447,945",2.36%,15.55%,-1.47%
176,Triggers,TRIG,"$14,711,739",$0.458230,"32,105,578*","$692,370",-2.42%,-18.93%,-46.10%
177,OKCash,OK,"$14,656,095",$0.200702,"73,024,162*","$1,923,960",-0.74%,-13.12%,-13.74%
178,Humaniq,HMQ,"$14,315,524",$0.087901,"162,858,880*","$170,251",0.73%,-6.15%,-24.87%
179,Golos,GOLOS,"$14,252,930",$0.114464,"124,518,891","$250,000",-10.13%,19.92%,10.07%
180,Chronobank,TIME,"$14,046,884",$19.78,"710,113*","$480,860",0.69%,3.73%,4.66%
181,Rivetz,RVT,"$14,036,171",$0.534824,"26,244,468*","$40,391",6.10%,-12.47%,-15.44%
182,SaluS,SLS,"$13,868,168",$13.81,"1,004,401*","$35,366",1.06%,6.02%,-3.16%
183,Energycoin,ENRG,"$13,828,198",$0.114003,"121,296,791","$1,715,690",5.25%,2.63%,1.95%
184,Peerplays,PPY,"$13,704,873",$3.59,"3,814,294*","$6,771",-0.27%,9.37%,30.11%
185,Lunyr,LUN,"$13,274,169",$5.78,"2,297,853*","$305,824",4.14%,-0.53%,-19.88%
186,BlackCoin,BLK,"$13,196,524",$0.172672,"76,425,385*","$512,417",1.19%,-2.06%,-1.69%
187,Soarcoin,SOAR,"$12,661,595",$0.016593,"763,073,048*","$4,115",0.84%,10.18%,3.31%
188,Swarm City,SWT,"$12,607,076",$1.65,"7,648,022*","$31,500",3.12%,-4.22%,-6.81%
189,Nexium,NXC,"$12,565,129",$0.188888,"66,521,586*","$217,359",-0.04%,-5.63%,-37.12%
190,Kore,KORE,"$12,549,110",$6.21,"2,021,136*","$1,876,970",-1.72%,-11.54%,-11.42%
191,ToaCoin,TOA,"$12,361,146",$0.007207,"1,715,155,932","$43,968",0.84%,20.50%,43.15%
192,Shift,SHIFT,"$12,263,423",$1.09,"11,285,428*","$112,186",0.89%,2.26%,-6.30%
193,Quantum,QAU,"$12,245,886",$0.153993,"79,522,355*","$90,358",0.15%,-0.13%,-11.56%
194,Agrello,DLT,"$12,188,537",$0.141762,"85,978,873*","$24,128",-0.29%,-7.57%,-37.87%
195,OAX,OAX,"$11,919,859",$0.476618,"25,009,250*","$174,496",0.41%,-4.58%,-30.36%
196,Mysterium,MYST,"$11,874,417",$0.611169,"19,429,024*","$300,815",1.18%,-11.87%,-22.49%
197,Radium,RADS,"$11,854,761",$3.52,"3,365,124*","$248,000",-1.87%,-7.98%,-20.50%
198,Matchpool,GUP,"$11,839,800",$0.157864,"75,000,000*","$424,936",0.05%,-6.88%,-10.85%
199,Burst,BURST,"$11,740,088",$0.006521,"1,800,339,818","$323,726",0.23%,-7.08%,-12.94%
200,DigitalNote,XDN,"$11,621,264",$0.001688,"6,885,695,758","$3,495,610",-0.04%,-5.99%,-16.85%
201,GridCoin,GRC,"$11,565,943",$0.029632,"390,312,753","$283,830",1.76%,2.04%,-7.95%
202,AirToken,AIR,"$11,377,275",$0.010835,"1,050,000,000*","$239,800",-0.33%,-20.24%,?
203,BitDice,CSNO,"$11,357,080",$0.162244,"70,000,000*","$76,833",-1.61%,8.68%,3.56%
204,Synereo,AMP,"$11,261,302",$0.136905,"82,256,324*","$284,301",0.99%,6.19%,-11.03%
205,LBRY Credits,LBC,"$11,177,720",$0.163120,"68,524,524","$583,602",-1.01%,-3.99%,-23.99%
206,Jinn,JINN,"$11,091,404",$188.94,"58,703*",$945,0.52%,13.75%,21.19%
207,Gambit,GAM,"$10,893,492",$9.11,"1,195,315*","$191,266",0.88%,-0.81%,-13.04%
208,Dimecoin,DIME,"$10,827,089",$0.000020,"535,702,805,136","$19,906",0.67%,-7.76%,536.17%
209,XCurrency,XC,"$10,807,980",$1.85,"5,854,366*","$5,096",0.88%,14.25%,20.04%
210,Databits,DTB,"$10,713,717",$0.470978,"22,747,809*","$94,326",1.99%,-1.44%,-5.65%
211,FlorinCoin,FLO,"$10,662,801",$0.076951,"138,565,750","$298,941",0.24%,1.38%,24.67%
212,Agoras Tokens,AGRS,"$10,565,898",$0.251569,"42,000,000*","$294,277",0.09%,-2.01%,-23.47%
213,Obsidian,ODN,"$10,519,084",$0.431110,"24,400,000*","$235,031",1.51%,-10.48%,-36.86%
214,Primas,PST,"$10,226,534",$0.199737,"51,200,000*","$1,496",-1.98%,-4.26%,-10.25%
215,BCAP,BCAP,"$10,040,500",$1.00,"10,000,000*","$38,305",-0.39%,-7.75%,5.99%
216,Lampix,PIX,"$10,026,165",$0.088475,"113,322,017*","$31,529",14.32%,1.01%,-6.14%
217,RaiBlocks,XRB,"$9,903,366",$0.079930,"123,900,329","$70,997",1.88%,2.10%,5.54%
218,LoMoCoin,LMC,"$9,842,907",$0.045281,"217,375,338*","$648,169",4.01%,-4.30%,-3.38%
219,Unobtanium,UNO,"$9,766,559",$49.37,"197,826","$199,008",2.17%,-29.85%,-61.09%
220,InvestFeed,IFT,"$9,695,585",$0.050661,"191,381,257*","$81,636",-0.70%,-1.33%,-28.70%
221,Wagerr,WGR,"$9,633,834",$0.052644,"183,000,000*","$17,787",-0.09%,1.80%,1.90%
222,VeriCoin,VRC,"$9,529,812",$0.313501,"30,398,028","$1,272,070",0.56%,-4.03%,9.03%
223,Nimiq,NET,"$9,481,931",$0.903041,"10,500,000*","$112,651",0.33%,1.45%,-13.23%
224,E-Dinar Coin,EDR,"$8,832,228",$0.009966,"886,211,988","$736,575",-0.96%,6.67%,-6.95%
225,DAO.Casino,BET,"$8,745,792",$0.079549,"109,942,758*","$12,807",-0.39%,-13.97%,-16.19%
226,Spectrecoin,XSPEC,"$8,638,953",$0.422517,"20,446,404*","$31,437",0.74%,3.04%,2.52%
227,NeosCoin,NEOS,"$8,559,495",$2.43,"3,522,904","$1,008,280",5.79%,9.53%,8.07%
228,Waves Communi...,WCT,"$8,390,868",$0.839604,"9,993,840*","$32,711",-0.25%,-7.15%,-28.19%
229,EmberCoin,EMB,"$8,349,496",$0.000107,"78,324,745,312*","$52,328",9.29%,26.70%,26.82%
230,Sphere,SPHR,"$8,326,498",$2.70,"3,082,940*","$17,152",-3.15%,19.35%,9.91%
231,NVO,NVST,"$8,198,835",$0.546589,"15,000,000*","$2,133",0.90%,9.36%,33.13%
232,vSlice,VSL,"$8,084,173",$0.242110,"33,390,496*","$257,325",0.10%,-10.79%,-54.72%
233,BitSend,BSD,"$8,068,744",$0.480857,"16,779,925","$60,436",0.88%,11.13%,14.38%
234,CasinoCoin,CSC,"$8,049,313",$0.208525,"38,601,187","$20,557",-3.89%,128.99%,280.76%
235,Pepe Cash,PEPECASH,"$8,044,784",$0.011462,"701,884,009*","$5,739",0.83%,10.15%,-0.22%
236,Pluton,PLU,"$8,002,091",$9.41,"850,000*","$81,911",0.14%,0.53%,-10.45%
237,Voxels,VOX,"$7,988,337",$0.038040,"210,000,000*","$124,753",0.84%,-8.42%,-7.19%
238,iXledger,IXT,"$7,940,900",$0.221944,"35,778,844*","$96,639",4.15%,-2.84%,-10.68%
239,Musicoin,MUSIC,"$7,841,617",$0.020590,"380,845,890","$155,506",1.25%,-4.66%,-8.12%
240,Centurion,CNT,"$7,616,076",$0.105861,"71,944,120","$40,073",-0.20%,11.18%,15.97%
241,ATC Coin,ATCC,"$7,400,066",$0.703030,"10,525,960*","$542,397",5.08%,9.11%,-30.44%
242,Feathercoin,FTC,"$7,257,612",$0.040722,"178,225,560","$53,661",-0.22%,7.95%,0.56%
243,HEAT,HEAT,"$7,232,616",$0.245935,"29,408,648*","$7,082",0.84%,4.15%,18.20%
244,PRIZM,PZM,"$7,202,273",$0.754120,"9,550,566*","$1,255",0.76%,-7.30%,-11.60%
245,XTRABYTES,XBY,"$7,174,738",$0.016862,"425,500,000*","$28,883",-2.38%,0.96%,-12.84%
246,SolarCoin,SLR,"$7,137,656",$0.194327,"36,730,130*","$62,828",4.58%,1.41%,-9.81%
247,PinkCoin,PINK,"$6,953,141",$0.019119,"363,682,750","$439,127",2.37%,-1.88%,-14.07%
